DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,amp,mgx,notin_db
COLOR,#c51b8a,#2b8cbe,#31a354
FIELD_SHAPES,1,1,1
FIELD_COLORS,#c51b8a,#2b8cbe,#31a354
FIELD_LABELS,amp,mgx,notin_db

#LEGEND_TITLE,profiling_method
Aeriscardovia,-1,1,-1.0
Scardovia,1,1,-1.0
Actinotignum,-1,1,-1.0
Varibaculum,1,1,-1.0
Actinomyces,1,1,-1.0
Propionibacterium,-1,-1,-1.0
Turicella,-1,-1,-1.0
Corynebacterium,1,1,-1.0
Collinsella,1,1,-1.0
Senegalimassilia,1,-1,1.0
Olsenella,-1,1,-1.0
Atopobium,1,1,-1.0
Slackia,1,1,-1.0
Gordonibacter,-1,1,-1.0
Eggerthella,1,1,-1.0
Adlercreutzia,1,1,-1.0
Asaccharobacter,-1,1,-1.0
Fusobacterium,1,1,-1.0
Leptotrichia,1,-1,-1.0
Medicago,1,-1,1.0
Virgulinella,1,-1,1.0
