,sampleid,sequencing type
159,C0047-7E-1A_amp,amplicon
160,C0047-7E-1A_amp,amplicon
161,C0047-7E-1A_amp,amplicon
162,C0047-7E-1A_amp,amplicon
163,C0047-7E-1A_amp,amplicon
164,C0047-7E-1A_amp,amplicon
165,C0047-7E-1A_amp,amplicon
166,C0047-7E-1A_amp,amplicon
167,C0047-7E-1A_amp,amplicon
168,C0047-7E-1A_amp,amplicon
169,C0047-7E-1A_amp,amplicon
170,C0047-7E-1A_amp,amplicon
171,C0047-7E-1A_amp,amplicon
172,C0047-7E-1A_amp,amplicon
173,C0047-7E-1A_amp,amplicon
174,C0047-7E-1A_amp,amplicon
175,C0047-7E-1A_amp,amplicon
176,C0047-7E-1A_amp,amplicon
177,C0047-7E-1A_amp,amplicon
178,C0047-7E-1A_amp,amplicon
179,C0047-7E-1A_amp,amplicon
180,C0047-7E-1A_amp,amplicon
181,C0047-7E-1A_amp,amplicon
182,C0047-7E-1A_amp,amplicon
183,C0047-7E-1A_amp,amplicon
184,C0047-7E-1A_amp,amplicon
185,C0047-7E-1A_amp,amplicon
186,C0047-7E-1A_amp,amplicon
187,C0047-7E-1A_amp,amplicon
188,C0047-7E-1A_amp,amplicon
189,C0047-7E-1A_amp,amplicon
190,C0047-7E-1A_amp,amplicon
191,C0047-7E-1A_amp,amplicon
192,C0047-7E-1A_amp,amplicon
193,C0047-7E-1A_amp,amplicon
194,C0047-7E-1A_amp,amplicon
195,C0047-7E-1A_amp,amplicon
196,C0047-7E-1A_amp,amplicon
197,C0047-7E-1A_amp,amplicon
198,C0047-7E-1A_amp,amplicon
199,C0047-7E-1A_amp,amplicon
200,C0047-7E-1A_amp,amplicon
201,C0047-7E-1A_amp,amplicon
202,C0047-7E-1A_amp,amplicon
203,C0047-7E-1A_amp,amplicon
204,C0047-7E-1A_amp,amplicon
205,C0047-7E-1A_amp,amplicon
206,C0047-7E-1A_amp,amplicon
207,C0047-7E-1A_amp,amplicon
208,C0047-7E-1A_amp,amplicon
209,C0047-7E-1A_amp,amplicon
210,C0047-7E-1A_amp,amplicon
211,C0047-7E-1A_amp,amplicon
212,C0047-7E-1A_amp,amplicon
213,C0047-7E-1A_amp,amplicon
214,C0047-7E-1A_amp,amplicon
215,C0047-7E-1A_amp,amplicon
216,C0047-7E-1A_amp,amplicon
217,C0047-7E-1A_amp,amplicon
218,C0047-7E-1A_amp,amplicon
219,C0047-7E-1A_amp,amplicon
220,C0047-7E-1A_amp,amplicon
221,C0047-7E-1A_amp,amplicon
222,C0047-7E-1A_amp,amplicon
223,C0047-7E-1A_amp,amplicon
224,C0047-7E-1A_amp,amplicon
225,C0047-7E-1A_amp,amplicon
226,C0047-7E-1A_amp,amplicon
227,C0047-7E-1A_amp,amplicon
228,C0047-7E-1A_amp,amplicon
229,C0047-7E-1A_amp,amplicon
230,C0047-7E-1A_amp,amplicon
231,C0047-7E-1A_amp,amplicon
232,C0047-7E-1A_amp,amplicon
233,C0047-7E-1A_amp,amplicon
234,C0047-7E-1A_amp,amplicon
235,C0047-7E-1A_amp,amplicon
236,C0047-7E-1A_amp,amplicon
237,C0047-7E-1A_amp,amplicon
238,C0047-7E-1A_amp,amplicon
239,C0047-7E-1A_amp,amplicon
240,C0047-7E-1A_amp,amplicon
241,C0047-7E-1A_amp,amplicon
242,C0047-7E-1A_amp,amplicon
243,C0052-7E-1A_amp,amplicon
244,C0052-7E-1A_amp,amplicon
245,C0052-7E-1A_amp,amplicon
246,C0052-7E-1A_amp,amplicon
247,C0052-7E-1A_amp,amplicon
248,C0052-7E-1A_amp,amplicon
249,C0052-7E-1A_amp,amplicon
250,C0052-7E-1A_amp,amplicon
251,C0052-7E-1A_amp,amplicon
252,C0052-7E-1A_amp,amplicon
253,C0052-7E-1A_amp,amplicon
254,C0052-7E-1A_amp,amplicon
255,C0052-7E-1A_amp,amplicon
256,C0052-7E-1A_amp,amplicon
257,C0052-7E-1A_amp,amplicon
258,C0052-7E-1A_amp,amplicon
259,C0052-7E-1A_amp,amplicon
260,C0052-7E-1A_amp,amplicon
261,C0052-7E-1A_amp,amplicon
262,C0052-7E-1A_amp,amplicon
263,C0052-7E-1A_amp,amplicon
264,C0052-7E-1A_amp,amplicon
265,C0052-7E-1A_amp,amplicon
266,C0052-7E-1A_amp,amplicon
267,C0052-7E-1A_amp,amplicon
268,C0052-7E-1A_amp,amplicon
269,C0052-7E-1A_amp,amplicon
270,C0052-7E-1A_amp,amplicon
271,C0052-7E-1A_amp,amplicon
272,C0052-7E-1A_amp,amplicon
273,C0052-7E-1A_amp,amplicon
274,C0052-7E-1A_amp,amplicon
275,C0052-7E-1A_amp,amplicon
276,C0052-7E-1A_amp,amplicon
277,C0052-7E-1A_amp,amplicon
278,C0052-7E-1A_amp,amplicon
279,C0052-7E-1A_amp,amplicon
280,C0052-7E-1A_amp,amplicon
281,C0052-7E-1A_amp,amplicon
282,C0052-7E-1A_amp,amplicon
283,C0052-7E-1A_amp,amplicon
284,C0052-7E-1A_amp,amplicon
285,C0052-7E-1A_amp,amplicon
286,C0052-7E-1A_amp,amplicon
287,C0052-7E-1A_amp,amplicon
288,C0052-7E-1A_amp,amplicon
289,C0052-7E-1A_amp,amplicon
290,C0052-7E-1A_amp,amplicon
291,C0052-7E-1A_amp,amplicon
292,C0052-7E-1A_amp,amplicon
293,C0052-7E-1A_amp,amplicon
294,C0052-7E-1A_amp,amplicon
295,C0052-7E-1A_amp,amplicon
296,C0052-7E-1A_amp,amplicon
297,C0052-7E-1A_amp,amplicon
298,C0052-7E-1A_amp,amplicon
299,C0052-7E-1A_amp,amplicon
300,C0052-7E-1A_amp,amplicon
301,C0052-7E-1A_amp,amplicon
302,C0052-7E-1A_amp,amplicon
303,C0052-7E-1A_amp,amplicon
304,C0052-7E-1A_amp,amplicon
305,C0052-7E-1A_amp,amplicon
306,C0052-7E-1A_amp,amplicon
307,C0052-7E-1A_amp,amplicon
308,C0052-7E-1A_amp,amplicon
309,C0052-7E-1A_amp,amplicon
310,C0052-7E-1A_amp,amplicon
311,C0052-7E-1A_amp,amplicon
312,C0052-7E-1A_amp,amplicon
313,C0052-7E-1A_amp,amplicon
314,C0052-7E-1A_amp,amplicon
315,C0052-7E-1A_amp,amplicon
316,C0052-7E-1A_amp,amplicon
317,C0052-7E-1A_amp,amplicon
318,C0052-7E-1A_amp,amplicon
319,C0052-7E-1A_amp,amplicon
320,C0052-7E-1A_amp,amplicon
321,C0052-7E-1A_amp,amplicon
322,C0052-7E-1A_amp,amplicon
323,C0052-7E-1A_amp,amplicon
324,C0052-7E-1A_amp,amplicon
325,C0052-7E-1A_amp,amplicon
326,C0052-7E-1A_amp,amplicon
327,C0052-7E-1A_amp,amplicon
328,C0052-7E-1A_amp,amplicon
329,C0052-7E-1A_amp,amplicon
330,C0052-7E-1A_amp,amplicon
331,C0052-7E-1A_amp,amplicon
332,C0052-7E-1A_amp,amplicon
333,C0052-7E-1A_amp,amplicon
334,C0052-7E-1A_amp,amplicon
335,C0052-7E-1A_amp,amplicon
336,C0052-7E-1A_amp,amplicon
337,C0052-7E-1A_amp,amplicon
338,C0052-7E-1A_amp,amplicon
339,C0052-7E-1A_amp,amplicon
340,C0052-7E-1A_amp,amplicon
341,C0052-7E-1A_amp,amplicon
342,C0052-7E-1A_amp,amplicon
343,C0052-7E-1A_amp,amplicon
344,C0052-7E-1A_amp,amplicon
345,C0052-7E-1A_amp,amplicon
